id,importance
ID,0.2320780974851286
var38,0.19568007001689863
var15,0.174159817782969
saldo_medio_var5_ult3,0.023813017450283438
saldo_medio_var5_hace3,0.021485485412151183
num_var45_ult3,0.019189511872501237
num_var45_hace3,0.0186286197014895
num_var45_hace2,0.013825098202526406
num_var22_ult3,0.013154189058966929
num_var45_ult1,0.012086388856538182
saldo_medio_var5_hace2,0.011017124017461886
num_med_var45_ult3,0.010345894277039084
saldo_var30,0.009945650411362292
num_meses_var5_ult3,0.009892378664952012
num_var22_hace3,0.009564290005927904
saldo_var5,0.0095186610437651
num_var22_hace2,0.0093572018001997
saldo_medio_var5_ult1,0.009094061190511201
saldo_var42,0.00868673432116111
var36,0.008311572673839095
num_meses_var39_vig_ult3,0.007834224222270359
num_var22_ult1,0.007384489303247375
ind_var5,0.006059194447735578
num_med_var22_ult3,0.00499658851558032
num_var4,0.004737549940517753
imp_op_var39_efect_ult3,0.003955328154903461
var3,0.0033767855176034963
imp_op_var41_comer_ult3,0.0033571907694106167
num_op_var41_ult3,0.0033432184989722136
imp_op_var41_efect_ult1,0.0032509280742239084
imp_op_var39_comer_ult3,0.0031935903745239553
imp_op_var41_ult1,0.0031567075970729773
imp_ent_var16_ult1,0.003149491820954353
imp_op_var39_ult1,0.003120384799813194
imp_op_var41_efect_ult3,0.0031008337661237407
imp_trans_var37_ult1,0.0030969840915688316
num_op_var41_ult1,0.003053737140701544
num_op_var41_comer_ult3,0.0030412507191775566
imp_op_var39_comer_ult1,0.0030391789582568567
num_ent_var16_ult1,0.0030068081367777702
num_op_var39_efect_ult3,0.0029792148152295956
num_var43_recib_ult1,0.0029484676715642254
imp_op_var41_comer_ult1,0.002898916289912296
num_op_var39_ult1,0.00288565050420319
num_op_var39_comer_ult3,0.0028628423832533284
num_op_var39_hace2,0.0028131691195043785
imp_op_var39_efect_ult1,0.0027490618501680272
num_op_var39_ult3,0.0027408315069315002
num_op_var41_comer_ult1,0.002680051087301418
num_op_var41_hace2,0.002643185189435817
imp_var43_emit_ult1,0.0026418207143340394
num_op_var41_efect_ult3,0.0025792337880597032
ind_var30,0.002532980644091277
num_op_var41_efect_ult1,0.00230440311433093
ind_var43_recib_ult1,0.0022980365393529974
num_op_var39_comer_ult1,0.002241550006714604
saldo_var37,0.002214064712735167
num_var43_emit_ult1,0.0022092347357891263
num_op_var39_efect_ult1,0.00204982795115138
num_var30,0.0019549040049337686
num_var35,0.001872042049137039
ind_var43_emit_ult1,0.0017409199209110233
num_var42,0.0017288549872364466
num_var37_0,0.0015885663610471442
num_var37_med_ult2,0.0015346239639412282
num_var41_0,0.0013462893749460682
num_var37,0.0013241437232601133
num_var39_0,0.001257775088495506
num_var8_0,0.001227320552777426
saldo_medio_var8_ult3,0.0010194796008301432
ind_var41_0,0.0009304802702643338
num_meses_var8_ult3,0.000900175003571063
num_trasp_var11_ult1,0.0008707175889986929
num_op_var41_hace3,0.0008109033823230404
num_op_var39_hace3,0.0008066627694416917
saldo_medio_var8_ult1,0.000767470034452557
num_var30_0,0.0007425589883939975
saldo_var25,0.000729987185056895
saldo_var8,0.0007251715687443541
ind_var37_cte,0.0007078456556944464
num_var5_0,0.0007071064284805984
saldo_medio_var8_hace2,0.0007027397555923012
ind_var12,0.000681157498549022
saldo_var26,0.0006663753275637648
ind_var39_0,0.0006143650054191188
outlier,0.0005743113099597476
ind_var10cte_ult1,0.0005736534338477218
num_var42_0,0.0005411054129674922
num_var25,0.0005146703739227218
num_var26_0,0.0004947015662920172
ind_var24_0,0.000489891969298914
ind_var9_cte_ult1,0.000488997609406711
ind_var10_ult1,0.0004689280422822477
ind_var37_0,0.00045296504434085125
imp_sal_var16_ult1,0.00045173566511186823
num_var12_0,0.00043707756635554055
num_var26,0.0004336064470365146
num_var13_0,0.0004287722169860858
ind_var5_0,0.00042601385492769964
imp_op_var40_efect_ult1,0.00041965965284417083
ind_var26_cte,0.00041426627839533895
saldo_medio_var12_ult1,0.00040008597461510867
saldo_medio_var12_ult3,0.0003980388771245982
ind_var8_0,0.00039769127775476486
imp_var7_recib_ult1,0.00039413350323993753
ind_var25_cte,0.0003930436950496319
num_sal_var16_ult1,0.0003899738400910944
ind_var37,0.00038069295105083945
num_var5,0.00035936616220879226
ind_var12_0,0.00035922219919520246
num_var24_0,0.0003443388296314276
num_var8,0.00033936913913932187
saldo_var12,0.0003318551637698136
num_meses_var12_ult3,0.00031043435001311696
ind_var7_recib_ult1,0.0003067567693043845
saldo_var13_corto,0.0002980806574160963
ind_var1_0,0.0002898370459485498
num_var7_recib_ult1,0.00028410573853731414
num_var40_0,0.00027992176254398746
num_var25_0,0.00027354810243654794
saldo_medio_var13_corto_ult3,0.00026802561995918525
ind_var9_ult1,0.00026307531920582663
saldo_medio_var13_corto_ult1,0.00026300845972551407
saldo_var13,0.0002610539631769393
saldo_medio_var8_hace3,0.00025640957023935864
saldo_medio_var13_corto_hace2,0.00025237373033129464
ind_var25_0,0.0002483813337826483
saldo_medio_var12_hace3,0.00024653003819104935
num_var1_0,0.00024065342768811869
saldo_var24,0.00024057599844524375
saldo_medio_var12_hace2,0.00022979908531461931
ind_var26_0,0.00022314934829903028
ind_var13_corto_0,0.00022030267632223863
num_var14_0,0.0002194548565498179
ind_var30_0,0.0002077054223560961
ind_var40_0,0.00020654282615225803
num_op_var40_comer_ult3,0.00020408241484046397
imp_op_var40_efect_ult3,0.00020382613988868223
ind_var32_cte,0.0002034104005407587
ind_var14_0,0.00019803290309203435
var21,0.000194019067907586
